marker,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF
#,Simple rung
#,
#,with Rung(X001):
#,    out(Y001)
R,X001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,out(Y001)
#,with Rung(X001):
#,    out(Y001)
#,    with branch(X002):
#,        out(Y002)
R,X001,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,out(Y001)
,,X002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,out(Y002)
#,with Rung(X001):
#,    out(Y001)
#,    with branch(X002 | X003):
#,        out(Y002)
R,X001,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,out(Y001)
,,T:X002,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,out(Y002)
,,X003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,with Rung(X001):
#,    out(Y001)
#,"    with branch(any_of(X002, X003), X004):"
#,        out(Y002)
R,X001,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,out(Y001)
,,T:X002,T:X004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,out(Y002)
,,X003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,with Rung(X001):
#,    out(Y001)
#,"    with branch(any_of(X002, X003), X004):"
#,        out(Y002)
#,    out(Y003)
R,X001,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,out(Y001)
,,T:X002,T:X004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,out(Y002)
,,T:X003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,out(Y003)
#,A rung that has a branch integrated into row[0]
#,
#,with Rung(X001):
#,    with branch(X002):
#,        out(Y001)
#,    with branch(X003):
#,        out(Y002)
R,X001,T:X002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,out(Y001)
,,X003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,out(Y002)
#,A continued rung
#,
#,with Rung(X001):
#,    with branch(X002):
#,        out(Y001)
#,    with branch(X003):
#,        out(Y002)
#,with Rung(X004).continued():
#,        out(Y003)
R,X001,T:X002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,out(Y001)
,,X003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,out(Y002)
,X004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,out(Y003)
